image_name,image_path,perc_0,perc_1,perc_2,perc_3
NP.15_#_E_#_TCGA-AR-A1AR-01Z-00-DX1_id-5e83b151ddda5f83987d504a_left-16035_top-30360_bottom-30664_right-16315,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.15_#_E_#_TCGA-AR-A1AR-01Z-00-DX1_id-5e83b151ddda5f83987d504a_left-16035_top-30360_bottom-30664_right-16315.png,0,0,1,0
NP.15_#_E_#_TCGA-D8-A147-01Z-00-DX1_id-5e83b153ddda5f83987d524b_left-67404_top-20308_bottom-20621_right-67682,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.15_#_E_#_TCGA-D8-A147-01Z-00-DX1_id-5e83b153ddda5f83987d524b_left-67404_top-20308_bottom-20621_right-67682.png,0,0,1,0
NP.9_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b12addda5f83987d232f_left-47293_top-21489_bottom-21759_right-47581,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.9_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b12addda5f83987d232f_left-47293_top-21489_bottom-21759_right-47581.png,1,0,0,0
JP.6_#_E_#_TCGA-E2-A158-01Z-00-DX1_id-5e83b1a2ddda5f83987d949a_left-58326_top-26876_bottom-27176_right-58652,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/JP.6_#_E_#_TCGA-E2-A158-01Z-00-DX1_id-5e83b1a2ddda5f83987d949a_left-58326_top-26876_bottom-27176_right-58652.png,0,0,1,0
NP.8_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b125ddda5f83987d1d57_left-45743_top-22782_bottom-23041_right-46066,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.8_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b125ddda5f83987d1d57_left-45743_top-22782_bottom-23041_right-46066.png,1,0,0,0
JP.1_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b170ddda5f83987d6605_left-48836_top-20990_bottom-21274_right-49107,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/JP.1_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b170ddda5f83987d6605_left-48836_top-20990_bottom-21274_right-49107.png,1,0,0,0
NP.8_#_E_#_TCGA-A1-A0SP-01Z-00-DX1_id-5e83b124ddda5f83987d1bf7_left-8065_top-57041_bottom-57314_right-8343,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.8_#_E_#_TCGA-A1-A0SP-01Z-00-DX1_id-5e83b124ddda5f83987d1bf7_left-8065_top-57041_bottom-57314_right-8343.png,1,1,0,0
NP.28_#_E_#_TCGA-C8-A12V-01Z-00-DX1_id-5e83b1a9ddda5f83987d9a37_left-11820_top-57216_bottom-57477_right-12093,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.28_#_E_#_TCGA-C8-A12V-01Z-00-DX1_id-5e83b1a9ddda5f83987d9a37_left-11820_top-57216_bottom-57477_right-12093.png,0,1,1,0
NP.28_#_E_#_TCGA-C8-A12V-01Z-00-DX1_id-5e83b1a9ddda5f83987d9a37_left-15135_top-57166_bottom-57491_right-15441,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/NP.28_#_E_#_TCGA-C8-A12V-01Z-00-DX1_id-5e83b1a9ddda5f83987d9a37_left-15135_top-57166_bottom-57491_right-15441.png,0,0,1,0
JP.5_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b176ddda5f83987d6d24_left-45244_top-22513_bottom-22796_right-45541,/Users/mraoaakash/Documents/research/research-personal/threshfinder/data/nucls/processed/images/JP.5_#_E_#_TCGA-A7-A0DA-01Z-00-DX1_id-5e83b176ddda5f83987d6d24_left-45244_top-22513_bottom-22796_right-45541.png,1,0,0,0
